Plugin,Menu,Section,Type,English,Japanese
"CactBridge","","","","Show encounter header","遭遇ヘッダーを表示"
"CactBridge","","","","Show healing columns","治癒列を表示"
"CactBridge","","","","Show party DPS in server info bar","サーバー情報バーに パーティ DPS を表示"
"CactBridge","","","","Show personal DPS in server info bar","サーバー情報バーに個人の DPS を表示"
"CactBridge","","","","Text colour",""
"CactBridge","","","","Text outline","テキストのアウトライン"
"CactBridge","","","","Text-to-Speech",""
"CactBridge","","","","Timeline",""
"CactBridge","","","","Timeline font","タイムラインフォント"
"CactBridge","","","","Timeline outline colour","タイムラインのアウトラインの色"
"CactBridge","","","","Timeline Overlay Box Size","タイムラインオーバーレイボックスのサイズ"
"CactBridge","","","","Timeline text outline","タイムラインのテキストのアウトライン"
"CactBridge","","","","Waiting for combat data...","戦闘データを待っています..."
"CactBridge","","","","Width",""
"CactBridge","","","","Width##dps",""
"CactBridge","","","","Width##tl",""
"CactBridge","","","","● Running","●ランニング"
"CactBridge","","","","● Unavailable","● 利用不可"
"CactBridge","","","","オーバーレイ位置をロックする###Lock overlay position",""
"CactBridge","","","","表示",""
